epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,9436.12,0.91099,0.65469,1.18584,0.78223,0.73272,0.74177,0.48197,1.25312,0.79325,1.32056,0.0067726,0.0067726,0.0067726
165,9492.82,0.90607,0.64041,1.1791,0.7924,0.72606,0.74349,0.4805,1.25612,0.78924,1.3254,0.0067528,0.0067528,0.0067528
166,9551.11,0.90955,0.64902,1.18356,0.79549,0.72771,0.74816,0.48316,1.25166,0.79213,1.32192,0.006733,0.006733,0.006733
167,9605.87,0.90645,0.65192,1.18284,0.7959,0.73338,0.74941,0.48386,1.24753,0.78688,1.31845,0.0067132,0.0067132,0.0067132
168,9661.56,0.90063,0.64431,1.17963,0.79925,0.72705,0.74497,0.48213,1.24851,0.78349,1.32213,0.0066934,0.0066934,0.0066934
169,9720.36,0.8979,0.64296,1.17857,0.78707,0.7347,0.7433,0.48334,1.2507,0.77889,1.32772,0.0066736,0.0066736,0.0066736
170,9777.03,0.90488,0.64364,1.17789,0.7951,0.7283,0.74343,0.48281,1.25056,0.77967,1.32691,0.0066538,0.0066538,0.0066538
171,9831.22,0.90313,0.64563,1.17837,0.80027,0.72905,0.74268,0.48324,1.253,0.78311,1.32763,0.006634,0.006634,0.006634
172,9888.19,0.89409,0.63685,1.17494,0.79498,0.73094,0.74399,0.48455,1.25405,0.7859,1.32863,0.0066142,0.0066142,0.0066142
173,9946.19,0.90132,0.6339,1.17362,0.80044,0.72525,0.74414,0.48374,1.25337,0.78329,1.32661,0.0065944,0.0065944,0.0065944
174,10000.7,0.89251,0.63545,1.17263,0.80205,0.72047,0.74349,0.48334,1.26007,0.78437,1.33374,0.0065746,0.0065746,0.0065746
175,10056.5,0.90323,0.6388,1.17546,0.79206,0.72825,0.74191,0.48135,1.25619,0.78154,1.33221,0.0065548,0.0065548,0.0065548
176,10114.6,0.8934,0.63071,1.17248,0.77687,0.73888,0.74494,0.482,1.25577,0.78302,1.33152,0.006535,0.006535,0.006535
177,10169.9,0.89322,0.63081,1.17219,0.78633,0.73844,0.74595,0.4824,1.25594,0.78252,1.33165,0.0065152,0.0065152,0.0065152
178,10225.7,0.88442,0.62512,1.16486,0.77036,0.74917,0.746,0.48178,1.25567,0.77948,1.3304,0.0064954,0.0064954,0.0064954
179,10282.5,0.89691,0.64292,1.1738,0.78604,0.72745,0.74503,0.48018,1.2567,0.78018,1.33208,0.0064756,0.0064756,0.0064756
